--- Terminal on COM13 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
[AS7343] 415:507 445:775 480:710 510:27 545:1318 580:16528 610:0 645:0 680:0 705:0 940:0 CLR:259
[AS7343] 415:484 445:741 480:678 510:26 545:1273 580:16419 610:0 645:0 680:0 705:0 940:0 CLR:259
[AS7343] 415:498 445:762 480:697 510:26 545:1301 580:16363 610:0 645:0 680:0 705:0 940:0 CLR:259
[AS7343] 415:506 445:776 480:709 510:27 545:1318 580:16534 610:0 645:0 680:0 705:0 940:0 CLR:259
[AS7343] 415:485 445:743 480:680 510:26 545:1276 580:16420 610:0 645:0 680:0 705:0 940:0 CLR:259
[AS7343] 415:501 445:766 480:701 510:26 545:1306 580:16393 610:0 645:0 680:0 705:0 940:0 CLR:259
[AS7343] 415:505 445:773 480:708 510:27 545:1316 580:16531 610:0 645:0 680:0 705:0 940:0 CLR:259
[AS7343] 415:486 445:745 480:682 510:26 545:1279 580:16385 610:0 645:0 680:0 705:0 940:0 CLR:259
[AS7343] 415:503 445:769 480:704 510:27 545:1310 580:16424 610:0 645:0 680:0 705:0 940:0 CLR:259
[AS7343] 415:504 445:771 480:706 510:27 545:1314 580:16533 610:0 645:0 680:0 705:0 940:0 CLR:259
